Code;Calle;Entre Calle;Lineas;Latitud;Longitud
C0001;Vucetich 7900;Esquina Schrodinger;10 Ida - 12 Ida - 17 Ida -;-31,464964;-64,078247
C0002;Vucetich 7707;Lippman y Zeemen;10 Ida - 12 Ida - 17 Ida -;-31,465003;-64,080913
C0004;Vucetich 7607;Pauli y Franck;10 Ida - 12 Ida - 17 Ida -;-31,464968;-64,082076
C0006;Vucetich 7450;Guillaume y Compton;10 Ida - 12 Ida -;-31,465001;-64,084132
C0008;Vucetich 7273;Bequerel y Thompson;10 Ida - 12 Ida -;-31,464699;-64,086138
C0010;Vucetich 7195;Faraday y Westinghouse;10 Ida - 12 Ida -;-31,465001;-64,087393
C0012;Vucetich 7107;Stephenson y Lumiere;10 Ida - 12 Ida -;-31,464937;-64,088702
C0014;Vucetich 6924;Watt y Ohm;10 Ida - 12 Ida -;-31,464928;-64,091738
C0016;Vucetich 6673;Hertz y Guttemberg;10 Ida - 12 Ida -;-31,464937;-64,094597
C0018;Vucetich 6559;Daimler y Galileo;10 Ida - 12 Ida -;-31,46491;-64,096764
C0020;Vucetich 6305;Diesel y Dalton;10 Ida -;-31,464947;-64,099468
C0022;Vucetich 6100;Taylor y Ruta 9;10 Ida -;-31,46492;-64,102257
C0024;Sabattini 6011;Vucetich y Pestaña;10 Ida - 16 Reg -;-31,463666;-64,104328
C0026;Sabattini 5821;Jose Villegas y Perelo ;10 Ida - 16 Reg -;-31,461607;-64,106388
C0028;Sabattini 5659;Sanchez de Loria y Manuel Padilla;10 Ida - 12 Ida - 15 Reg - 16 Reg -;-31,459548;-64,108469
C0030;Sabattini 5515;Martin Zapata y Luciano Torrent;10 Ida - 12 Ida - 15 Reg - 16 Reg -;-31,457956;-64,1101
C0032;Sabattini 5421;Delfin Huergo y Juan Segui;10 Ida - 12 Ida - 15 Reg - 16 Reg -;-31,456464;-64,11157
C0034;Sabattini 5375;Frente CARGO;10 Ida - 12 Ida - 15 Reg - 16 Reg - 17 Ida -;-31,454926;-64,113179
C0036;Sabattini 5300;Frente a Tubos Transelectric;10 Ida - 12 Ida - 15 Reg - 16 Reg - 17 Ida -;-31,453828;-64,114402
C0038;Sabattini 5200;Frente FIAT;10 Ida - 12 Ida - 15 Reg - 16 Reg - 17 Ida -;-31,451814;-64,116247
C0040;Sabattini 5125;Cangallo y Croacia;10 Ida - 12 Ida - 15 Reg - 16 Reg - 17 Ida -;-31,448775;-64,119251
C0042;Sabattini 5025;Croacia y Circunvalacion;10 Ida - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,446652;-64,121568
C0044;Sabattini 4900;Calingasta y Fiambala;10 Ida - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,440702;-64,127276
C0046;Sabattini 4600;Frente Arco de Cordoba;10 Ida - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,438176;-64,128263
C0048;Sabattini 4317;ESTACION TANCACHA;10 Ida - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,434846;-64,131199
C0050;Sabattini 4011;ESTACION PUNILLA;10 Ida - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,432929;-64,134101
C0054;Sabattini 3811;ESTACION BANCALARI;10 Ida - 11 Reg - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,432264;-64,136398
C0058;Sabattini 3500;Hiper Libertad;10 Ida - 11 Reg - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,432759;-64,143371
C0062;Sabattini 2957;ESTACION OCAMPO;10 Ida - 11 Reg - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,433241;-64,148084
C0064;Sabattini 2647;ESTACION SARGENTO CABRAL;10 Ida - 11 Reg - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,433033;-64,151129
C0068;Sabattini 2200;ESTACION BARCELONA;10 Ida - 11 Reg - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,433014;-64,156595
C0072;Sabattini 1669;ESTACION TOLOSA;10 Ida - 11 Reg - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,431842;-64,163531
C0076;Sabattini 1400;ESTACION ROCA;10 Ida - 11 Reg - 12 Ida - 14 Reg - 15 Reg - 16 Reg - 17 Ida -;-31,430823;-64,167012
C0078;Sabattini 500;ESTACION ACA;10 Ida - 11 Reg - 12 Ida - 14 Reg - 17 Ida -;-31,427509;-64,171862
C0082;Castro Barros 58;Avellaneda y Ramirez de Velazco;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 19 Ida -;-31,404931;-64,194198
C0084;Castro Barros 443;Europa y Palestina;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,400865;-64,196773
C0086;Castro Barros 675;Chaco y Zelaya;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,399217;-64,197932
C0088;Castro Barros 987;Matias Zapiola y Gutierrez de Ceballos;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,396799;-64,199928
C0090;Castro Barros 1224;Galan y Tambo Nuevo;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,39385;-64,202342
C0092;Castro Barros 1527;6 de Julio y Copacabana;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,392366;-64,203115
C0094;Caraffa 1868;Pablo Cabrera y Obispo Pozo y Silva;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,390333;-64,204681
C0096;Caraffa 2084;Progreso y Juan de la Serna;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,389545;-64,20717
C0098;Caraffa 2253;Julian Paz y Juan Posse;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,388794;-64,209552
C0100;Caraffa 2568;Domingo Zipoli y Las Playas;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,38753;-64,2135
C0102;Caraffa 2786;Claudio Cuenca y Gato y Mancha;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,386742;-64,216247
C0104;Caraffa 2934;Luis Galeano y Pedroni;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,38623;-64,217556
C0106;Octavio Pinto 3150;Temistocles Castellano y Manuel Quintana;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,384728;-64,220474
C0108;Octavio Pinto 3318;Javier Lopez y Sagrada Familia;10 Ida - 11 Reg - 12 Ida - 13 Ida - 14 Reg - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,382969;-64,222856
C0110;Rafael Nuñez 3545;Rodriguez del Busto y Moscoso;10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,378737;-64,224101
C0112;Rafael Nuñez 3686;De Angelis y Perez de Herrera;10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,376539;-64,226054
C0114;Rafael Nuñez 3740;Burger y Alameda;10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,375183;-64,227148
C0116;Rafael Nuñez 3832;Virey del Pino y Emilio Petorutti;10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,373846;-64,228414
C0118;Rafael Nuñez 3964;Juan Castagnino y Juan Battle Planas;10 Ida - 11 Reg - 12 Ida - 13 Ida - 15 Reg - 17 Ida - 18 Ida - 19 Ida -;-31,372234;-64,229766
